79....6.........5.46.8.59.....5.4298..3927..5........3..2.96.7......8....3.......,795243681328169457461875932617534298843927165259681743182396574576418329934752816,
...824..16.........82....7.76.28..1.2...1.65..594.7.829........8.57.......4......,537824961691573248482691573763285419248319657159467382976142835825736194314958726,
.81.3..5.9....6....6..9.4.8.......39.5.8.....6.3...5.17..5............431......6.,481732956925486317367195428814657239259813674673924581736548192598261743142379865,
1.9.3........57.3...218...5...8.............24.....3..24..1.59....3....178...42..,159436728864257139372189645527863914936741852418925376243618597695372481781594263,
6.1..3....4....6..9.871..5....9........84.3.5..5.....7...5...9.7.....418...6.....,621453879547298631938716254374965182192847365865132947213584796756329418489671523,
.5....82.........3...6...5......317....5....2.3172...9.6....28..2..7..9.81..3...6,956317824782954613143682957295463178678591432431728569367149285524876391819235746,
97.........53.69.....8.1....3...8.2.6.........1.2.......7.1..56.2.....1..63..27..,971524863285376941346891572739168425652749138418235697897413256524687319163952784,
.1.7....48...62.3....35.18......1.....3.....5.4763..2.2.1.......5.....4..76....5.,315789264894162537762354189589421673623897415147635928231548796958276341476913852,
...5............9....4.1....45...9..7.....31...82.7.4......5....1.9.34.2..2...175,281539764453762891967481253645318927729654318138297546874125639516973482392846175,
..4..637593........27........15..6..74..1..9....7.....2.6...7.4..3.....9.9.....61,814926375935871426627435918381592647742618593569743182256189734173264859498357261,
.6.5....4...1.4....12.8.9..98......2............6....8.98.7..25..4..1.6.52...6.7.,867529314359164287412387956983715642276948531145632798698473125734251869521896473,
..95.1.6....4.97...7.....3..............129..2.4.....3.6...41.2.....6.745..9.....,439571268826439751175268439917643825653812947284795613768354192392186574541927386,
.......4..6....3....3..4.57.867.2..3.2..4...9.958.3.7....2.58.4...........8...9..,872359146564127398913684257486792513327541689195863472739215864641938725258476931,
1...4..25.3.1.....7.......9......9.4......58.3...5..7.57.9..23.8..3..4.7.2......8,168749325935128746742635819257813964614297583389456172576984231891362457423571698,
1.7..923...531..87..862..1...9...17................9..9...5.....531...2...1.76...,167589234295314687348627519639845172782961453514732968976253841453198726821476395,
......8......5.124.4.12..3...78..5.3.....7..2....4.7...28..13.....7.3.6.....8..4.,612374859783956124549128637467812593895637412231549786928461375154793268376285941,
6.329...18..34.2..5.46..3.....5.8.19..5.1..84............9...2.....3...6...15....,673295841819347265524681397436528719295713684781469532158976423947832156362154978,
12..7.9....7.....5.4.9...6..9..1....6.2...578.85......8.1....422.....8.6.64.....1,126475983937286415548931267793518624612394578485627139851769342279143856364852791,
8....6.71.4.7..3..26.4....8.......4312..4..6.6..9.1.....92..7.4...1...........9..,893526471541798326267413598978652143125347869634981257319265784482179635756834912,
..458......1..9...836....5......8...5.891..43....4.....95761.............7..3.6..,924586731751329486836174952347258169568917243219643875495761328683492517172835694,
.1857..23.....9.8.2....149..7..9.....9....5343...2...158..1....1..........7...8..,918574623764239185235681497471395268892167534356428971589712346123846759647953812,
..24.9.861.5..........8.........6.2.....1.....693.5....369..5.......84...5..61..2,372459186185673249694182753517896324843217695269345871736924518921538467458761932,
.5.7.............6769...8.1....4...9924...........6.1.2..4.95.81.....6.78.5.....4,358761942412985376769324851631547289924138765587296413276419538143852697895673124,
.632.8..75...3..........2.3..74..3.........9..........4..7..8.2.2..5..749..6..5..,163298457542137689789546213897461325214385796356972148435719862621853974978624531,
